Mes_año,Departamento,Precip_Total_mm,Temp_Media_C,Hum_Media_Pje,Produccion_kg,Precio_kg
2020-01,Montevideo,33.8,22.7,63.7,1743924.0,69.98
2020-01,Rocha,0.0,21.6,72.5,1743924.0,58.77
2020-01,Salto,0.0,24.4,70.4,1743924.0,58.77
2020-01,Soriano,100.6,23.4,70.0,1743924.0,58.69
2020-01,Tacuarembó,0.0,24.2,66.0,1743924.0,58.73
2020-02,Colonia,0.0,24.1,58.7,1420670.0,64.0
2020-02,Montevideo,44.6,22.7,64.8,1420670.0,73.24
2020-02,Rocha,0.0,21.2,76.0,1420670.0,58.17
2020-02,Salto,0.0,23.8,67.4,1420670.0,58.17
2020-02,Soriano,69.8,22.6,68.9,1420670.0,58.17
2020-02,Tacuarembó,0.0,24.6,64.0,1420670.0,57.91
2020-03,Colonia,0.0,25.3,66.0,1635940.0,82.21
2020-03,Montevideo,86.2,22.6,71.7,1635940.0,86.06
2020-03,Rocha,0.0,21.2,79.6,1635940.0,92.85
2020-03,Salto,0.0,24.1,68.6,1635940.0,92.85
2020-03,Soriano,72.4,23.0,71.5,1635940.0,92.85
2020-03,Tacuarembó,0.0,26.7,56.2,1635940.0,92.85
2020-04,Colonia,0.0,19.5,66.7,1609932.0,88.0
2020-04,Montevideo,125.8,17.6,76.8,1609932.0,92.0
2020-04,Rocha,0.0,17.5,80.3,1609932.0,93.83
2020-04,Salto,0.0,18.0,71.4,1609932.0,95.43
2020-04,Soriano,126.8,16.9,75.1,1609932.0,94.73
2020-04,Tacuarembó,0.0,20.9,58.0,1609932.0,94.65
2020-05,Colonia,0.0,17.2,63.2,1380928.0,87.91
2020-05,Montevideo,84.8,14.3,73.9,1380928.0,92.19
2020-05,Rocha,0.0,14.1,77.8,1380928.0,87.6
2020-05,Salto,0.0,14.9,75.7,1380928.0,93.46
2020-05,Soriano,23.4,13.8,76.6,1380928.0,87.6
2020-05,Tacuarembó,0.0,18.2,58.8,1380928.0,87.6
2020-06,Colonia,0.0,13.7,71.3,1446727.0,88.4
2020-06,Montevideo,238.2,11.3,87.9,1446727.0,93.04
2020-06,Rocha,0.0,12.2,87.4,1446727.0,90.0
2020-06,Salto,0.0,13.1,84.5,1446727.0,93.75
2020-06,Soriano,92.4,11.4,84.4,1446727.0,90.0
2020-06,Tacuarembó,0.0,13.0,72.9,1446727.0,90.0
2020-07,Colonia,0.0,10.1,73.2,1682632.0,88.69
2020-07,Montevideo,33.2,9.5,76.9,1682632.0,92.61
2020-07,Montevideo,33.2,9.5,76.9,1682632.0,74.0
2020-07,Rocha,0.0,10.2,78.1,1682632.0,90.0
2020-07,Salto,0.0,10.9,76.3,1682632.0,90.73
2020-07,Soriano,16.0,9.5,77.4,1682632.0,90.0
2020-07,Tacuarembó,0.0,11.3,74.1,1682632.0,90.0
2020-08,Colonia,0.0,12.8,68.1,1553499.0,86.04
2020-08,Montevideo,63.2,12.2,72.0,1553499.0,92.15
2020-08,Montevideo,63.2,12.2,72.0,1553499.0,74.0
2020-08,Rocha,0.0,11.6,78.2,1553499.0,81.94
2020-08,Salto,0.0,15.0,65.9,1553499.0,89.25
2020-08,Soriano,32.4,13.0,70.9,1553499.0,81.55
2020-08,Tacuarembó,0.0,13.8,68.9,1553499.0,81.55
2020-09,Colonia,0.0,12.7,73.2,,90.08
2020-09,Montevideo,62.2,12.2,73.4,,94.77
2020-09,Montevideo,62.2,12.2,73.4,,74.0
2020-09,Rocha,0.0,11.7,79.6,,86.33
